[2018-07-11T22:53:31.774] [DEBUG] router - route=posts,username=markangeltruemanendpoint=approved/:1
[2018-07-11T22:53:35.312] [DEBUG] router - route=posts,username=markangeltruemanendpoint=approved/:1
[2018-07-11T22:53:51.243] [DEBUG] router - route=posts,username=markangeltruemanendpoint=toapprove
[2018-07-11T22:54:23.418] [DEBUG] router - route=posts,username=undefinedendpoint=toapprove
[2018-07-11T22:54:25.228] [DEBUG] router - route=posts,username=undefinedendpoint=toapprove
[2018-07-11T22:56:01.501] [DEBUG] router - route=posts,username=undefinedendpoint=approved/:1
[2018-07-11T22:56:01.547] [DEBUG] router - route=posts,username=undefinedendpoint=toapprove
[2018-07-11T22:56:51.111] [DEBUG] router - route=posts,username=markangeltruemanendpoint=approved/:1
[2018-07-11T22:56:51.172] [DEBUG] router - route=posts,username=markangeltruemanendpoint=toapprove
[2018-07-11T23:12:13.281] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:12:13.342] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:12:14.149] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:12:15.894] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:12:16.600] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:15:09.011] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:15:09.081] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:15:09.812] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:15:11.461] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:15:12.101] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:18:21.925] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:18:21.992] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:19:25.268] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:19:35.272] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:22:47.735] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:24:24.258] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-11T23:24:36.611] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-11T23:24:37.476] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T00:43:15.736] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T00:43:15.744] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T00:43:15.764] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T00:43:17.333] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T00:43:18.958] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T00:43:20.145] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T00:43:20.929] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T09:38:05.044] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T09:38:07.299] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T09:38:11.079] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T09:38:13.413] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T11:46:57.950] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T11:46:57.959] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T12:04:14.555] [DEBUG] router - route=posts,username=No User,endpoint=approved/:1
[2018-07-12T12:04:32.636] [DEBUG] router - route=users,username=No User,endpoint=/levels
[2018-07-12T12:08:09.551] [DEBUG] router - route=users,username=No User,endpoint=/levels
[2018-07-12T12:08:09.561] [DEBUG] router - route=posts,username=No User,endpoint=approved/:1
[2018-07-12T12:08:24.564] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T12:08:24.568] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T12:08:30.650] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T12:13:30.313] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:37:34.197] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:37:34.211] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:37:45.661] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:37:45.667] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:37:45.683] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T13:37:49.589] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:37:55.422] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:37:55.428] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:37:55.448] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:39:17.616] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:39:17.618] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:39:17.620] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:39:23.317] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:39:23.319] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:39:23.340] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:41:29.697] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:41:29.699] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:41:29.732] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:41:39.826] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:41:39.832] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:41:39.857] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:44:36.048] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:44:36.050] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:44:36.074] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:45:47.672] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:45:47.674] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:45:47.698] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:52:26.082] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:52:26.084] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:52:26.105] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:53:08.754] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:53:08.756] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:53:08.774] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:53:49.098] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:53:49.100] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:53:49.121] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:56:07.098] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:56:07.100] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:56:07.121] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:58:11.947] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:58:11.949] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:58:11.951] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:58:17.146] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T13:58:17.148] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T13:58:17.168] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:03:24.863] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:03:24.867] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:03:24.884] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:10:10.918] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:10:10.920] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:10:10.938] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:10:46.729] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/dlive/@hiroyamagishi/c263bc10-8589-11e8-adb2-bf4283a63cb9
[2018-07-12T14:10:47.316] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T14:10:50.567] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:10:50.568] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:11:00.549] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T14:11:03.913] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/approve:5b4753560f0246cd2bac0db6
[2018-07-12T14:11:05.916] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:11:05.918] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T14:11:08.163] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:11:08.165] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:11:08.183] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T14:37:19.517] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:37:19.520] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:37:19.534] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T14:37:29.410] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:38:20.253] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:38:20.254] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:38:20.272] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:39:47.990] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:39:47.991] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:39:48.011] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:40:15.999] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:40:16.001] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:40:16.023] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:43:10.830] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:43:10.845] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:43:10.903] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:44:31.243] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:44:31.252] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:44:37.775] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:45:22.326] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T14:45:22.328] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T14:45:22.350] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:40:11.273] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:40:11.277] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:40:11.278] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:45:21.967] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:45:21.974] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:45:22.003] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:46:36.138] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/adventure/@adonisabril/machupicchuhikeviatheincajungletrek-fya7ig149h
[2018-07-12T15:46:36.810] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T15:47:03.188] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/travel/@adonisabril/bali-thegoodthebadtheugly-de9uk7znft
[2018-07-12T15:47:03.665] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T15:47:09.013] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:47:09.015] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:47:33.872] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:47:39.932] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/update:[object Object]
[2018-07-12T15:47:40.012] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:47:43.223] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:47:43.225] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:47:43.259] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:48:23.092] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:48:23.108] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:48:23.181] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:49:26.937] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:49:26.956] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:49:27.021] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:51:49.196] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/update:[object Object]
[2018-07-12T15:51:49.245] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:51:54.283] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:51:54.285] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:51:54.327] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/allusers
[2018-07-12T15:55:15.331] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:58:05.032] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/news/@reseller/f3xv9w5n
[2018-07-12T15:58:05.627] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T15:58:06.375] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:undefined
[2018-07-12T15:58:06.376] [ERROR] router - error RequestError: Error: Invalid URI "undefined.json"
[2018-07-12T15:58:17.651] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/news/@reseller/f3xv9w5n
[2018-07-12T15:58:18.047] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T15:58:18.048] [DEBUG] router - unsuccesful submission {"err":"Post has already been submitted."}
[2018-07-12T15:58:29.165] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=toapprove
[2018-07-12T15:59:04.976] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=/:https://steemit.com/dlive/@mrsadman/79eaa010-8544-11e8-adb2-bf4283a63cb9
[2018-07-12T15:59:05.390] [DEBUG] router - response from business logic = [object Object]
[2018-07-12T15:59:05.390] [DEBUG] router - unsuccesful submission {"err":"You have reached your submission limit of 5 in the last 7 days."}
[2018-07-12T15:59:13.279] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:59:13.281] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T15:59:51.154] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T15:59:51.157] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:01:03.055] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:01:03.072] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:03:46.233] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:03:46.251] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:15:17.045] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:15:17.048] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:23:21.943] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:23:21.951] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:23:22.003] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:23:22.042] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:24:49.207] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:24:49.209] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:24:49.361] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:24:49.362] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:25:18.207] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:25:18.210] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:27:29.196] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:27:29.197] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:27:47.220] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:27:47.223] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:27:47.249] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:27:47.261] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:29:06.259] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:29:06.261] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:29:06.314] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:29:06.316] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:03.504] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:03.511] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:30:03.722] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:03.729] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:30:09.994] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:09.999] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:30:29.084] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:29.094] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:30:29.325] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:30:29.327] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:34:40.625] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:34:40.626] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:35:27.121] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:35:27.126] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:35:38.689] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:35:38.693] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:37:12.505] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:37:12.509] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:37:23.721] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:37:23.722] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:54:30.716] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:54:30.719] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:54:42.385] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:54:42.388] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:55:01.820] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:55:01.822] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:56:22.124] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:56:22.126] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:56:28.171] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:56:28.177] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:57:10.102] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:57:10.104] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:57:22.855] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:57:22.856] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:57:56.479] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:57:56.481] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:16.542] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:16.545] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:35.298] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:35.303] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
[2018-07-12T16:58:56.947] [DEBUG] router - route=posts,username=markangeltrueman,endpoint=approved/:1
[2018-07-12T16:58:56.948] [DEBUG] router - route=users,username=markangeltrueman,endpoint=/levels
